gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,day,month,year,speciesKey
3038639638,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.93998,-1.231892,14/7/2016 0:00,14,7,2016,5212973
3038639575,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.392999,-3.281115,8/8/2019 0:00,8,8,2019,5212973
3038639544,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.41049,-2.49457,24/9/2013 0:00,24,9,2013,5212973
3038639465,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.974545,-2.531011,10/7/2017 0:00,10,7,2017,5212973
3038639345,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.546135,-4.423872,9/8/2016 0:00,9,8,2016,5212973
3038639343,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.953885,-2.749621,26/7/2016 0:00,26,7,2016,5212973
3038639175,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.888283,-2.499659,2/9/2016 0:00,2,9,2016,5212973
3038639173,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.393749,-0.58108,14/11/2013 0:00,14,11,2013,5212973
3038639099,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.148329,-3.690909,25/8/2016 0:00,25,8,2016,5212973
3038639061,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.642819,-3.348172,23/7/2013 0:00,23,7,2013,5212973
3038638991,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.650963,-3.48272,16/6/2015 0:00,16,6,2015,5212973
3038638968,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.337203,-2.243667,14/6/2013 0:00,14,6,2013,5212973
3038638955,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.71994,-2.985,20/8/2013 0:00,20,8,2013,5212973
3038638944,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.147935,-1.456089,6/9/2018 0:00,6,9,2018,5212973
3038638929,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.316545,-2.823009,20/8/2014 0:00,20,8,2014,5212973
